训练记录
==================================================
数据集大小: 2500
词表大小: 2632
训练轮次: 15
最终训练损失: 0.7025
最终验证损失: 0.9077

损失记录:
Epoch 1: 训练=4.9917, 验证=4.0225
Epoch 2: 训练=3.2028, 验证=2.4706
Epoch 3: 训练=2.0302, 验证=1.7331
Epoch 4: 训练=1.4595, 验证=1.3051
Epoch 5: 训练=1.0953, 验证=1.0685
Epoch 6: 训练=0.9265, 验证=1.0111
Epoch 7: 训练=0.8638, 验证=0.9768
Epoch 8: 训练=0.8200, 验证=0.9537
Epoch 9: 训练=0.7867, 验证=0.9389
Epoch 10: 训练=0.7599, 验证=0.9258
Epoch 11: 训练=0.7403, 验证=0.9200
Epoch 12: 训练=0.7297, 验证=0.9160
Epoch 13: 训练=0.7202, 验证=0.9115
Epoch 14: 训练=0.7109, 验证=0.9095
Epoch 15: 训练=0.7025, 验证=0.9077
